Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,No,0,Graduate,No,5849,0.0,1,360.0,1.0,Urban,Y
Male,Yes,1,Graduate,No,4583,1508.0,2,360.0,1.0,Rural,N
Male,Yes,0,Graduate,Yes,3000,0.0,1,360.0,1.0,Urban,Y
Male,Yes,0,Not Graduate,No,2583,2358.0,2,360.0,1.0,Urban,Y
Male,No,0,Graduate,No,6000,0.0,2,360.0,1.0,Urban,Y
Male,Yes,2,Graduate,Yes,5417,4196.0,3,360.0,1.0,Urban,Y
Male,Yes,0,Not Graduate,No,2333,1516.0,1,360.0,1.0,Urban,Y
Male,Yes,3+,Graduate,No,3036,2504.0,2,360.0,0.0,Semiurban,N
Male,Yes,2,Graduate,No,4006,1526.0,2,360.0,1.0,Urban,Y
Male,Yes,1,Graduate,No,12841,10968.0,4,360.0,1.0,Semiurban,N
Male,Yes,2,Graduate,No,3200,700.0,1,360.0,1.0,Urban,Y
Male,Yes,2,Graduate,Yes,2500,1840.0,2,360.0,1.0,Urban,Y
Male,Yes,2,Graduate,No,3073,8106.0,2,360.0,1.0,Urban,Y
Male,No,0,Graduate,No,1853,2840.0,2,360.0,1.0,Rural,N
Male,Yes,2,Graduate,No,1299,1086.0,1,120.0,1.0,Urban,Y
Male,No,0,Graduate,No,4950,0.0,2,360.0,1.0,Urban,Y
Male,No,1,Not Graduate,No,3596,0.0,1,240.0,1.0,Urban,Y
Female,No,0,Graduate,No,3510,0.0,1,360.0,0.0,Urban,N
Male,Yes,0,Not Graduate,No,4887,0.0,2,360.0,1.0,Rural,N
Male,Yes,0,Graduate,Yes,2600,3500.0,2,0.0,1.0,Urban,Y
Male,Yes,0,Not Graduate,No,7660,0.0,2,360.0,0.0,Urban,N
Male,Yes,1,Graduate,No,5955,5625.0,4,360.0,1.0,Urban,Y
Male,Yes,0,Not Graduate,No,2600,1911.0,2,360.0,0.0,Semiurban,N
Male,Yes,2,Not Graduate,No,3365,1917.0,2,360.0,0.0,Rural,N
Male,Yes,1,Graduate,Yes,3717,2925.0,2,360.0,1.0,Semiurban,N
Male,Yes,0,Graduate,Yes,9560,0.0,2,360.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,2799,2253.0,2,360.0,1.0,Semiurban,Y
Male,Yes,2,Not Graduate,No,4226,1040.0,2,360.0,1.0,Urban,Y
Male,No,0,Not Graduate,No,1442,0.0,1,360.0,1.0,Urban,N
Female,No,2,Graduate,Yes,3750,2083.0,2,360.0,1.0,Semiurban,Y
Male,Yes,1,Graduate,Yes,4166,3369.0,3,360.0,1.0,Urban,N
Male,No,0,Graduate,No,3167,0.0,1,360.0,1.0,Urban,N
Male,No,1,Graduate,Yes,4692,0.0,2,360.0,1.0,Rural,N
Male,Yes,0,Graduate,No,3500,1667.0,2,360.0,1.0,Semiurban,Y
Male,No,3+,Graduate,No,12500,3000.0,4,360.0,1.0,Rural,N
Male,Yes,0,Graduate,No,2275,2067.0,1,360.0,1.0,Urban,Y
Male,Yes,0,Graduate,No,1828,1330.0,1,0.0,0.0,Urban,N
Female,Yes,0,Graduate,No,3667,1459.0,2,360.0,1.0,Semiurban,Y
Male,No,0,Graduate,No,4166,7210.0,2,360.0,1.0,Urban,Y
Male,No,0,Not Graduate,No,3748,1668.0,2,360.0,1.0,Semiurban,Y
Male,No,0,Graduate,No,3600,0.0,1,360.0,1.0,Urban,N
Male,No,0,Graduate,No,1800,1213.0,1,360.0,1.0,Urban,Y
Male,Yes,0,Graduate,No,2400,0.0,1,360.0,1.0,Urban,Y
Male,Yes,0,Graduate,No,3941,2336.0,2,360.0,1.0,Semiurban,Y
Male,Yes,0,Not Graduate,Yes,4695,0.0,1,0.0,1.0,Urban,Y
Female,No,0,Graduate,No,3410,0.0,1,0.0,1.0,Urban,Y
Male,Yes,1,Graduate,No,5649,0.0,1,360.0,1.0,Urban,Y
Male,Yes,0,Graduate,No,5821,0.0,2,360.0,1.0,Urban,Y
Female,Yes,0,Graduate,No,2645,3440.0,2,360.0,0.0,Urban,N
Female,No,0,Graduate,No,4000,2275.0,2,360.0,1.0,Semiurban,Y
Female,Yes,0,Not Graduate,No,1928,1644.0,1,360.0,1.0,Semiurban,Y
Female,No,0,Graduate,No,3086,0.0,2,360.0,1.0,Semiurban,Y
Female,No,0,Graduate,No,4230,0.0,2,360.0,1.0,Semiurban,N
Male,Yes,2,Graduate,No,4616,0.0,2,360.0,1.0,Urban,N
Female,Yes,1,Graduate,Yes,11500,0.0,3,360.0,0.0,Urban,N
Male,Yes,2,Graduate,No,2708,1167.0,1,360.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,2132,1591.0,1,360.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,3366,2200.0,2,360.0,1.0,Rural,N
Male,Yes,1,Graduate,No,8080,2250.0,2,360.0,1.0,Urban,Y
Male,Yes,2,Not Graduate,No,3357,2859.0,2,360.0,1.0,Urban,Y
Male,Yes,0,Graduate,No,2500,3796.0,2,360.0,1.0,Urban,Y
Male,Yes,3+,Graduate,No,3029,0.0,1,360.0,1.0,Urban,Y
Male,Yes,0,Not Graduate,Yes,2609,3449.0,2,180.0,0.0,Rural,N
Male,Yes,1,Graduate,No,4945,0.0,1,360.0,0.0,Rural,N
Female,No,0,Graduate,No,4166,0.0,2,360.0,0.0,Semiurban,N
Male,Yes,0,Graduate,No,5726,4595.0,3,360.0,1.0,Semiurban,N
Male,No,0,Not Graduate,No,3200,2254.0,2,180.0,0.0,Urban,N
Male,Yes,1,Graduate,No,10750,0.0,4,360.0,1.0,Urban,Y
Male,Yes,3+,Not Graduate,Yes,7100,0.0,2,60.0,1.0,Urban,Y
Female,No,0,Graduate,No,4300,0.0,2,360.0,0.0,Semiurban,N
Male,Yes,0,Graduate,No,3208,3066.0,2,360.0,1.0,Urban,Y
Male,Yes,2,Not Graduate,Yes,1875,1875.0,1,360.0,1.0,Semiurban,Y
Male,No,0,Graduate,No,3500,0.0,1,300.0,1.0,Semiurban,Y
Male,Yes,3+,Not Graduate,No,4755,0.0,1,0.0,0.0,Semiurban,N
Male,Yes,3+,Graduate,Yes,5266,1774.0,2,360.0,1.0,Semiurban,Y
Male,No,0,Graduate,No,3750,0.0,2,480.0,1.0,Urban,N
Male,No,0,Graduate,No,3750,4750.0,2,360.0,1.0,Urban,N
Male,Yes,1,Graduate,Yes,1000,3022.0,2,360.0,1.0,Urban,N
Male,Yes,3+,Graduate,No,3167,4000.0,2,300.0,0.0,Semiurban,N
Male,Yes,3+,Not Graduate,Yes,3333,2166.0,2,360.0,1.0,Semiurban,Y
Female,No,0,Graduate,No,3846,0.0,2,360.0,1.0,Semiurban,Y
Male,Yes,1,Graduate,Yes,2395,0.0,1,360.0,1.0,Semiurban,Y
Female,Yes,2,Graduate,No,1378,1881.0,2,360.0,1.0,Urban,N
Male,Yes,0,Graduate,No,6000,2250.0,3,360.0,1.0,Semiurban,N
Male,Yes,1,Graduate,No,3988,0.0,1,240.0,1.0,Urban,Y
Male,No,0,Graduate,No,2366,2531.0,2,360.0,1.0,Semiurban,Y
Male,Yes,2,Not Graduate,No,3333,2000.0,1,360.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,2500,2118.0,2,360.0,1.0,Semiurban,Y
Male,No,0,Graduate,No,8566,0.0,3,360.0,1.0,Urban,Y
Male,Yes,0,Graduate,No,5695,4167.0,2,360.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,2958,2900.0,2,360.0,1.0,Semiurban,Y
Male,Yes,2,Graduate,No,6250,5654.0,2,180.0,1.0,Semiurban,Y
Male,Yes,2,Not Graduate,No,3273,1820.0,1,360.0,1.0,Urban,Y
Male,No,0,Graduate,No,4133,0.0,2,360.0,1.0,Semiurban,Y
